full_name,player_role,team_name,player_name
MS Dhoni,WK-Batter,chennai-super-kings,MS Dhoni
Dewald Brevis,Batter,chennai-super-kings,D Brevis
Devon Conway,Batter,chennai-super-kings,DP Conway
Rahul Tripathi,Batter,chennai-super-kings,RA Tripathi
Shaik Rasheed,Batter,chennai-super-kings,SK Rasheed
Vansh Bedi,WK-Batter,chennai-super-kings,Vansh Bedi
Andre Siddarth,Batter,chennai-super-kings,Andre Siddarth
Ayush Mhatre,Batter,chennai-super-kings,A Mhatre
Urvil Patel,WK-Batter,chennai-super-kings,Urvil Patel
Rachin Ravindra,All-Rounder,chennai-super-kings,R Ravindra
Ravichandran Ashwin,All-Rounder,chennai-super-kings,R Ashwin
Vijay Shankar,All-Rounder,chennai-super-kings,V Shankar
Sam Curran,All-Rounder,chennai-super-kings,SM Curran
Anshul Kamboj,All-Rounder,chennai-super-kings,A Kamboj
Deepak Hooda,All-Rounder,chennai-super-kings,DJ Hooda
Jamie Overton,All-Rounder,chennai-super-kings,J Overton
Kamlesh Nagarkoti,All-Rounder,chennai-super-kings,KL Nagarkoti
Ramakrishna Ghosh,All-Rounder,chennai-super-kings,Ramakrishna Ghosh
Ravindra Jadeja,All-Rounder,chennai-super-kings,RA Jadeja
Shivam Dube,All-Rounder,chennai-super-kings,S Dube
Khaleel Ahmed,Bowler,chennai-super-kings,KK Ahmed
Noor Ahmad,Bowler,chennai-super-kings,Noor Ahmad
Mukesh Choudhary,Bowler,chennai-super-kings,Mukesh Choudhary
Nathan Ellis,Bowler,chennai-super-kings,NT Ellis
Shreyas Gopal,Bowler,chennai-super-kings,S Gopal
Matheesha Pathirana,Bowler,chennai-super-kings,M Pathirana
KL Rahul,WK-Batter,delhi-capitals,KL Rahul
Karun Nair,Batter,delhi-capitals,KK Nair
Faf du Plessis,Batter,delhi-capitals,F du Plessis
Donovan Ferreira,WK-Batter,delhi-capitals,D Ferreira
Sediqullah Atal,Batter,delhi-capitals,Sediqullah Atal
Abishek Porel,WK-Batter,delhi-capitals,Abishek Porel
Tristan Stubbs,WK-Batter,delhi-capitals,T Stubbs
Axar Patel,All-Rounder,delhi-capitals,AR Patel
Sameer Rizvi,All-Rounder,delhi-capitals,Sameer Rizvi
Ashutosh Sharma,All-Rounder,delhi-capitals,Ashutosh Sharma
Darshan Nalkande,All-Rounder,delhi-capitals,DG Nalkande
Vipraj Nigam,All-Rounder,delhi-capitals,V Nigam
Ajay Mandal,All-Rounder,delhi-capitals,Ajay Mandal
Manvanth Kumar,All-Rounder,delhi-capitals,_
Tripurana Vijay,All-Rounder,delhi-capitals,Tripurana Vijay
Madhav Tiwari,All-Rounder,delhi-capitals,M Tiwari
Mitchell Starc,Bowler,delhi-capitals,MA Starc
T. Natarajan,Bowler,delhi-capitals,T Natarajan
